Date,Actual,Forecast
2022-09-12,4455953.8,4725738.312440224
2022-09-19,4177456.6875,4478240.589233798
2022-09-26,3898959.575,4230742.7578105815
2022-10-03,3620462.4625000004,3983244.873094498
2022-10-10,3341965.3500000006,3735746.9621336013
2022-10-17,3063468.2375,3488249.0382480808
2022-10-24,2784971.125,3240751.107997648
2022-10-31,2506474.012500001,2993253.174612727
2022-11-07,2227976.9000000004,2745755.239684183
2022-11-14,1949479.7874999996,2498257.30399546
2022-11-21,1670982.6750000007,2250759.3679323765
2022-11-28,1392485.5625,2003261.4316849345
2022-12-05,1113988.4500000011,1755763.495346702
2022-12-12,835491.3375000004,1508265.558963759
2022-12-19,556994.2249999996,1260767.622558797
2022-12-26,278497.11250000075,1013269.6861429913
2023-01-02,0.0,765771.7497218465
2023-01-09,235058.59999999998,518273.81329807127
2023-01-16,587688.88,502411.5086367326
2023-01-23,2331607.18,653651.2620039245
2023-01-30,0.0,1514713.2633562144
2023-02-06,0.0,887100.4910674128
2023-02-13,-153911.46,578023.8415362809
2023-02-20,5906743.56,356394.07799445745
2023-02-27,0.0,2980864.5225761104
2023-03-06,0.0,1609127.0955499178
2023-03-13,-43563.81,933595.897490398
2023-03-20,0.0,581272.0069184855
2023-03-27,9141632.52,427414.34570460767
2023-04-03,2466493.88,4474912.975607502
2023-04-10,2406479.027317073,3457386.488655592
2023-04-17,2346464.174634146,2929222.130452276
2023-04-24,2286449.3219512193,2642050.9671602948
2023-05-01,2226434.4692682927,2473560.2586515425
2023-05-08,2166419.6165853655,2363515.3927846802
2023-05-15,2106404.763902439,2282252.9960140116
2023-05-22,2046389.911219512,2215164.926959846
2023-05-29,1986375.0585365852,2155057.2029741807
2023-06-05,1926360.2058536585,2098387.0471222466
2023-06-12,1866345.3531707316,2043409.7695676011
2023-06-19,1806330.5004878049,1989266.1735046206
2023-06-26,1746315.647804878,1935533.1355016367
2023-07-03,1686300.795121951,1882002.2825325215
2023-07-10,1626285.9424390243,1828570.9983988616
2023-07-17,1566271.0897560976,1775188.7483247668
2023-07-24,1506256.2370731705,1721830.6457561282
2023-07-31,1446241.3843902438,1668484.4349628175
2023-08-07,1386226.531707317,1615144.0804398656
2023-08-14,1326211.6790243902,1561806.609918804
2023-08-21,1266196.8263414633,1508470.5596646336
2023-08-28,1206181.9736585366,1455135.2088406724
2023-09-04,1146167.1209756096,1401800.202460857
2023-09-11,1086152.268292683,1348465.365707358
2023-09-18,1026137.415609756,1295130.612488701
2023-09-25,966122.5629268291,1241795.9004079397
2023-10-02,906107.7102439024,1188461.2085861082
2023-10-09,846092.8575609755,1135126.5267410688
